Genus_Species,Diet Breakdown Sheet Species,Synonyms,Genus_Species_Isler,Order,Suborder,Infraorder,Parvorder,Superfamily,Family,Subfamily,Species.group,High.Quality.,Subspecies,Data.quality..ok.if._.4.individuals..at.least.2m.and.2f.in.anthropoids.,Calculation.of.ECV.species.mean,Source.of.ECV,Source.of.body.mass,ECV.male.mean,ECV.female.mean,ECV.species.mean,N.ECV.male,N.ECV.female,N.ECV.species,Body.mass.male.mean,Body.mass.female.mean,Body.mass.species.mean,N.body.mass.male,N.body.mass.female,N.body.mass.species,N_Var_Total,N_Var_Male,N_Var_Female,Sp_Var_ln_ECV,M_Var_ln_ECV,F_Var_ln_ECV,Sp_Var_ln_BoM,M_Var_ln_BoM,F_Var_ln_BoM,predict.sp.ECV,predict.sp.BoM,predict.M.ECV,predict.M.BoM,predict.F.ECV,predict.F.BoM,true.sp.ECV,true.sp.BoM,true.M.ECV,true.M.BoM,true.F.ECV,true.F.BoM,H_Ni.sp,H_Ni.M,H_Ni.F,K.sp.ECV,K.sp.BoM,K.M.ECV,K.M.BoM,K.F.ECV,K.sp.BoM.1,avg_s2.sp.ECV,avg_s2.sp.BoM,avg_s2.M.ECV,avg_s2.M.BoM,avg_s2.F.ECV,avg_s2.F.BoM,var_s2.sp.ECV,var_s2.sp.BoM,var_s2.M.ECV,var_s2.M.BoM,var_s2.F.ECV,var_s2.F.BoM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presbytis_femoralis,Presbytis_femoralis,,Presbytis_femoralis,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,Presbytis melalophos group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",77.24,70.23,73.74,9,5,14,6892,6804,6848,9,5,14,14,9,5,0.005005932,0.018117859,0.00190587,0.002805804,0.009548932,0.001674285,0.004214309,0.008466208,0.008754473,0.025359607,0.006134155,0.019338141,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.480232022,0.678373619,0.147387246,0.563676346,0.194033417,0.678373619,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presbytis_frontata,Presbytis_frontata,,Presbytis_frontata,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,Presbytis frontata group,N,NA,ok,m/f,This study,Smith and Jungers 1997,83.67,78.36,81.02,3,3,6,5560,5670,5615,1,8,9,2,0,2,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presbytis_melalophos,Presbytis_melalophos,,Presbytis_melalophos,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,Presbytis melalophos group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",70.49,59.21,64.85,10,11,21,6554,6567,6560,10,11,21,21,10,11,0.003681649,0.007952786,0.006773809,0.010541185,0.010371381,0.031793361,0.00359957,0.012864889,0.007268871,0.024806136,0.007009965,0.03282818,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.587022434,0.764424274,0.162811116,0.592395942,0.375727892,0.764424274,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presbytis_rubicunda,Presbytis_rubicunda,,Presbytis_rubicunda,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,Presbytis rubicunda group,Y,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",74.35,67.68,71.02,28,22,50,6310,6221,6266,28,22,50,50,28,22,0.001961238,0.005144496,0.002700454,0.006083066,0.010574474,0.013757788,0.002300703,0.007683286,0.006402135,0.017143509,0.0046668,0.017512428,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.776911483,0.888268816,0.368455912,0.813435751,0.558287832,0.888268816,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presbytis_siamensis,Presbytis_siamensis,,Presbytis_siamensis,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,Presbytis melalophos group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",64.7,57.18,60.94,6,7,13,5387,6366,5876,6,7,13,13,6,7,0.005918474,0.002889523,0.020784372,0.010844668,0.022334497,0.021044176,0.004603983,0.014088852,0.006721822,0.035309077,0.010768885,0.02706389,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.460294813,0.66066631,0.097506219,0.446726059,0.265310567,0.66066631,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presbytis_thomasi,Presbytis_thomasi,,Presbytis_thomasi,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,Presbytis comata group,N,NA,ok,m/f,This study,Smith and Jungers 1997,76.72,69.14,72.93,3,4,7,6770,6690,6730,3,5,8,4,2,2,0.003418618,0.013329986,0.000344485,0.002870921,0.011483686,0,0.003471604,0.01466466,0.00726688,0.041016031,0.006765632,0.028718341,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.17574437,0.327386501,0.021151138,0.139032911,0.05676978,0.327386501,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procolobus_verus,Procolobus_verus,,Procolobus_verus,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,NA,Y,NA,ok,m/f,This study,Smith and Jungers 1997,53.57,51.63,52.6,15,14,29,4700,4200,4450,20,14,34,9,5,4,0.002166615,0.007707045,0.000959416,0.008985499,0.00725903,0.028682968,0.003005775,0.013954943,0.007181308,0.030665751,0.006204964,0.032548539,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.362478933,0.564832895,0.079556424,0.392443824,0.152944131,0.564832895,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pygathrix_nemaeus,Pygathrix_nemaeus,,Pygathrix_sp.,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,NA,N,NA,ok,m/f,This study,Smith and Jungers 1997,90.6,81.11,85.86,4,6,10,11000,8440,9720,4,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semnopithecus_dussumieri,Semnopithecus_dussumieri,,Semnopithecus_dussumieri,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,southern group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",91.89,88.3,90.09,4,6,10,11198,10130,10664,4,6,10,10,4,6,0.001856708,0.005801094,0.001625739,0.021963308,0.06542029,0.022432943,0.002848502,0.021329953,0.007054609,0.052193041,0.005873737,0.028432609,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.390112839,0.593531259,0.06087813,0.326351528,0.231320781,0.593531259,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semnopithecus_priam,Semnopithecus_priam,,Semnopithecus_priam,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,southern group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",87.86,78.28,83.07,9,3,12,10546,6577,8562,7,3,10,9,7,2,0.002569232,0.008987978,0.00128895,0.010892515,0.041185704,0.002384356,0.003151715,0.015032088,0.007348432,0.043521693,0.006819249,0.029154214,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.362478933,0.564832895,0.114769318,0.492104123,0.05676978,0.564832895,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simias_concolor,Simias_concolor,,Simias_concolor,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,NA,N,NA,ok,m/f,This study,Smith and Jungers 1997,60.68,56.17,58.42,3,3,6,9150,6800,7975,3,3,6,3,2,1,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theropithecus_gelada,Theropithecus_gelada,,Theropithecus_gelada,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,NA,Y,NA,ok,m/f,This study,Smith and Jungers 1997,142.13,124.52,133.33,11,16,27,19000,11700,15350,5,8,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trachypithecus_cristatus,Trachypithecus_cristatus,Presbytis_cristata,Trachypithecus_cristatus,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,Trachypithecus cristatus group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",60.74,54.98,57.86,11,19,30,6728,6060,6394,9,16,25,25,9,16,0.008494411,0.017719061,0.016258585,0.01344958,0.039539827,0.014258494,0.006642225,0.014870846,0.008695695,0.042264765,0.011472746,0.019054555,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.630413543,0.795664133,0.147387246,0.563676346,0.474458241,0.795664133,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trachypithecus_obscurus,Trachypithecus_obscurus,Presbytis_obscura,Trachypithecus_obscurus,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,Trachypithecus obscurus group,Y,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",64.27,59.97,62.12,10,19,29,7347,6765,7056,10,18,28,28,10,18,0.002915983,0.007613825,0.004050107,0.009226767,0.01410118,0.02280589,0.003110203,0.01130428,0.007213684,0.027015654,0.005583339,0.025375226,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.657410199,0.81414855,0.162811116,0.592395942,0.505726524,0.81414855,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trachypithecus_phayrei,Trachypithecus_phayrei,,Trachypithecus_phayrei,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,Trachypithecus obscurus group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",76.53,69.15,72.84,6,3,9,7768,7182,7475,6,3,9,9,6,3,0.00271742,0.003891431,0.006978249,0.006434671,0.023374282,0.002364401,0.00320543,0.012514151,0.006819514,0.035773576,0.007133421,0.02501086,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.362478933,0.564832895,0.097506219,0.446726059,0.107440203,0.564832895,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trachypithecus_vetulus,Trachypithecus_vetulus,,Trachypithecus_vetulus,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,Trachypithecus vetulus group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",62.19,60.4,61.29,3,3,6,7371,5103,6237,3,3,6,4,2,2,0.005898836,0.02080726,0.002788083,0.027858181,0.110451706,0.00098102,0.003907488,0.022845152,0.007425033,0.054775843,0.006904355,0.028897677,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.17574437,0.327386501,0.021151138,0.139032911,0.05676978,0.327386501,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheirogaleus_major,Cheirogaleus_major,,Cheirogaleus_major,Primates,Strepsirrhini,Lemuriformes,NA,Cheirogaleoidea,Cheirogaleidae,NA,NA,Y,NA,ok,ind,This study,Smith and Jungers 1997,5.99,5.63,5.81,5,3,14,438,362,400,3,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheirogaleus_medius,Cheirogaleus_medius,,Cheirogaleus_medius,Primates,Strepsirrhini,Lemuriformes,NA,Cheirogaleoidea,Cheirogaleidae,NA,Cheirogaleus medius group,N,NA,ok,ind,This study,Gordon 2006,2.6,2.6,2.6,4,3,7,140,139,140,47,52,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microcebus_murinus,Microcebus_murinus,,Microcebus_murinus,Primates,Strepsirrhini,Lemuriformes,NA,Cheirogaleoidea,Cheirogaleidae,NA,NA,Y,NA,ok,ind,This study,Gordon 2006,1.47,1.66,1.63,7,8,17,63,67,65,127,120,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microcebus_rufus,Microcebus_rufus,,Microcebus_rufus,Primates,Strepsirrhini,Lemuriformes,NA,Cheirogaleoidea,Cheirogaleidae,NA,NA,N,NA,ok,ind,This study,Smith and Jungers 1997,1.65,1.8,1.72,2,6,9,43,42,43,55,32,87,1,0,1,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirza_coquereli,Mirza_coquereli,,Mirza_coquereli,Primates,Strepsirrhini,Lemuriformes,NA,Cheirogaleoidea,Cheirogaleidae,NA,NA,N,NA,ok,ind,This study,Gordon 2006,5.8,5.23,5.8,2,2,8,311,312,312,78,90,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phaner_furcifer_pallescens,Phaner_furcifer_pallescens,,Phaner_furcifer_pallescens,Primates,Strepsirrhini,Lemuriformes,NA,Cheirogaleoidea,Cheirogaleidae,NA,NA,N,NA,ok,ind,This study,Schélke et al. 2004 (P. furcifer),6.7,6.78,6.68,1,4,7,328,350,339,8,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daubentonia_madagascariensis,Daubentonia_madagascariensis,,Daubentonia_madagascariensis,Primates,Strepsirrhini,Chiromyiformes,NA,NA,Daubentoniidae,NA,NA,Y,NA,ok,ind,This study,Smith and Jungers 1997,43.89,47.19,44.85,3,1,10,2620,2490,2555,13,14,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euoticus_elegantulus,Euoticus_elegantulus,,Euoticus_elegantulus,Primates,Strepsirrhini,Lorisiformes,NA,NA,Galagidae,NA,NA,Y,NA,ok,ind,This study,Smith and Jungers 1997,5.54,5.48,5.53,8,5,14,287,261,274,5,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galago_cameronensis,Galago_cameronensis,Galago_alleni,Galago_cameronensis,Primates,Strepsirrhini,Lorisiformes,NA,NA,Galagidae,NA,Galago alleni group,N,NA,ok,ind,This study,"This study, same specimens as ECV measurements",6.09,5.41,5.58,2,6,8,243,260,252,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galago_gabonensis,Galago_gabonensis,,Galago_gabonensis,Primates,Strepsirrhini,Lorisiformes,NA,NA,Galagidae,NA,Galago alleni group,N,NA,ok,ind,This study,"Smith and Jungers 1997, G. alleni gabonensis",5.75,5.75,5.36,3,1,7,277,269,273,9,30,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galago_moholi,Galago_moholi,,Galago_moholi,Primates,Strepsirrhini,Lorisiformes,NA,NA,Galagidae,NA,Galago senegalensis group,N,NA,ok,ind,This study,"This study, same specimens as ECV measurements",3.78,3.64,3.71,29,32,61,150,147,148,23,26,49,49,23,26,0.002486743,0.00515751,0.004789461,0.022016616,0.047453679,0.040612786,0.002712555,0.021833238,0.006498424,0.047087162,0.005732757,0.039782643,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.773317353,0.886205965,0.322208448,0.780348232,0.600744841,0.886205965,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galago_senegalensis,Galago_senegalensis,,Galago_senegalensis,Primates,Strepsirrhini,Lorisiformes,NA,NA,Galagidae,NA,Galago senegalensis group,Y,NA,ok,ind,This study,"This study, same specimens as ECV measurements",4.01,3.9,3.96,107,91,199,200,188,194,103,90,193,193,103,90,0.00262693,0.005277438,0.005230282,0.012732499,0.030982501,0.019947496,0.002685375,0.012971141,0.005857466,0.031829745,0.005532616,0.020675577,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.931721108,0.968896988,0.687893436,0.942763692,0.842683285,0.968896988,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galagoides_demidoff,Galagoides_demidoff,,Galagoides_demidoff,Primates,Strepsirrhini,Lorisiformes,NA,NA,Galagidae,NA,Galago demidoff group,N,NA,ok,ind,This study,"This study, same specimens as ECV measurements",2.65,2.66,2.65,25,38,25,76,73,75,16,27,43,27,16,11,0.002203143,0.005208103,0.003604467,0.012014684,0.03389353,0.014165207,0.002652516,0.013622542,0.006663983,0.037368277,0.005819155,0.02064664,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.648860469,0.808370212,0.244782938,0.70779618,0.375727892,0.808370212,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
